name,free_returns,price,status,shipping,items_sold
ABN Dead Blow Hammer 2 lb Pound Mallet with Non-Marring Rubber Coating,True,1299,Brand New,0,
Milwaukee 48-22-9310 3Lb Fiberglass Drilling Hammer,True,1997,Brand New,500,
Anvil 16 oz. Fiberglass Claw Hammer,False,1397,Brand New,0,
"5-Piece Hammer Set, Ball Peen Hammer with Shock Reduction Grip",False,3999,Brand New,0,
DeWalt DWHT51366 22 oz. Demolition Hammer New,True,2761,Brand New,0,
New ListingESTWING E3-22 CLAW HAMMER  2 HAMMERS,False,900,Pre-Owned,1300,
2-Way 25mm Mini Small Rubber And Nylon Head Face Mallet Hammer Handle Shaft,False,659,Brand New,0,
Dewalt 22 Oz. One-Piece Steel Milled Face Hammer,True,2499,Brand New,749,
" 8 oz Small Claw Hammer, Rip Claw Hammer with Non Slip Shock Reduction Grip ",False,899,Brand New,0,
"New ListingVINTAGE HART  THE TRIMMER  16 Oz Framing Hammer,Smooth Face 13'' Hickory Handle",False,1500,Pre-Owned,1020,
16 oz. Fireberglass Claw Hammer,False,708,Brand New,0,
"4 OZ. SMALL BRASS HAMMER KNURLED 5/8"" ALUMINUM HANDLE * EXCELLENT GRIP USA MADE",False,2689,Brand New,0,87
Estwing ‎E3-28SM Claw Framing Hammer,False,2999,Brand New,0,
CTA Tools 7395 Ball Joint Hammer Nut Kit,True,2857,Brand New,0,21
16oz Pink Steel Hammer w/ Smooth Face Rip Claw Slip Resistant Handle   ,False,2499,Brand New,0,
2X Emergency Escape Tool Auto Car Window Glass Hammer Breaker & Seat Belt Cutter,True,1099,Brand New,0,
DeWalt DWHT51054 5-1/2 IN/ 20 oz. One-Piece Steel Finish Hammer New,True,2629,Brand New,0,119
DEWALT 8 lbs. Exo-Core Sledge Hammer DWHT56028 New,True,,Brand New,0,92
Vintage Stiletto 28 oz. Framing Claw Hammer,True,999,Pre-Owned,1705,
"DeWalt DWHT51366 22 oz. Demolition Sledge Hammer, One Piece Steel Long Handle",False,3393,Brand New,0,348
DEAD BLOW HAMMER SET – deadblow hammers – high visibility green – hand tools,False,4500,Brand New,0,223
Martinez M1 Titanium Hammer,False,16850,Pre-Owned,1700,
Milwaukee 48-22-9035 22 oz. Milled Face Framing Hammer + 15 in. Pry Bar,True,5097,Brand New,0,
Dewalt 28 Oz. 1Pc. Steel Framing Hammer,True,2699,Brand New,749,
New Marshalltown 12OZ Drywall Fired Hickory Handle Hammer No #14570,True,1998,Brand New,0,
32 OZ  BRASS HEAD HAMMER TOOL 2 LB FIBERGLASS HANDLE RUBBER GRIP,True,4795,Brand New,0,
antique primitive burl wooden mallet maul hammer,False,800,Pre-Owned,1543,
Milwaukee 48-22-9316 19 oz. Smooth Face Poly/Fiberglass Hammer + 15 in. Pry Bar,True,4897,Brand New,0,
"1911 Hammer STAINLESS STEEL - commander style ,1911 hammer",True,2880,Brand New,0,1974
"ABN Hammer Crimper - Lug Crimper Tool, Cable Crimping Tool Wire Crimper Tool",True,1599,Brand New,0,
"True Temper 2001200 Hammer Handle,Sledge,24 In. L",True,1000,Brand New,500,215
Milwaukee 48-22-9023 22 Oz Smooth Face Framing Hammer,True,2960,Brand New,500,
"8oz Rubber Mallet Hammer Fiberglass Grip Handle 11"" inch Length NEW",True,1099,Brand New,0,
Skylanders SWAP FORCE COMPLETE YOUR COLLECTION Buy 3 get 1 Free! *$6 Minimum* 🎼,False,99,Pre-Owned,0,187
"New ListingSTILETTO REN19MS Steel 19 Milled Face Hammer with a Straight 18"" Hickory Handle",False,125,Pre-Owned,2300,
East Wing Milled Face Framing Hammer Shock Reduction Grip Handle Rip Claw 22 oz,False,3295,Brand New,0,
"HICKORY 10-1/2"" MINI SLEDGE HAMMER HANDLE Fire Finish & Lacquered, Amish Made",False,1099,Brand New,399,202
Vintage Antique Claw Hammer 8 in. 10 oz.,False,1200,Pre-Owned,778,
"Vaughan Fs16 Claw Hammer,Fiberglass,16 Oz",True,2099,Brand New,0,
"Vaughan Fs999ml Rip Hammer,Fiberglass,20 Oz",True,2593,Brand New,500,
"Vintage Plumb Hammer, 16 oz, Octagon Head",False,895,Pre-Owned,1125,
3 PACK Car Window Glass Breaker Key Whistle Rescue Tool Emergency Hammer Belt,False,999,Brand New,0,
Dewalt DWHT51379 XP 16Oz. 1Pc Steel Hammer,False,2000,Brand New,990,
Stiletto TiBone III 15oz Titanium Claw Hammer - TB3SC,True,15900,Pre-Owned,0,
Milwaukee Lineman Hammer 4 In 1,True,,Brand New,749,
DEWALT 16OZ RIP Claw Nailing Hammer,False,2895,Open Box,0,
"Used Estwing Rock Pick Hammer 11"" One Piece Stainless. Sheath Included",False,2250,Pre-Owned,800,
Dent Puller Slide Hammer Auto Body Dent Repair Tools Kit Auto Truck 9 pc 5LB   ,True,2719,Brand New,0,3719
Vintage Retro Lucite Like BET'R GRIP  D170  CLAW HAMMER USA PAT PEND,False,1400,Pre-Owned,849,
"True Temper 2036200 Hammer Handle,Sledge,36 In. L",True,1399,Brand New,500,210
VINTAGE TRUE TEMPER CHAMPION CURVED CLAW HAMMER W/BLUE TIP WOOD HANDLE,False,1000,Pre-Owned,1018,
Milwaukee Hammer 22-Oz Milled Face Framing,True,3448,Brand New,0,
Stiletto Ruger titanium hammer ,False,18500,Pre-Owned,1599,
(1)- Dalluge 16 Oz Hickory Handle Smooth Face Trim Claw Finish Hammer 01650,True,4899,Brand New,0,
Ball Peen Hammer Metal Forming Pein Hammers 8oz Forged Steel Vaughan Made in USA,True,1690,Brand New,0,
4lb LUMP SLEDGE HAMMER FIBREGLASS SHAFT AND RUBBER GRIP HANDLE SLEDGEHAMMER,False,1995,Brand New,0,
Milwaukee 3 lbs. Fiberglass Drilling Hammer,False,2599,Brand New,0,
Trusty Cook Model S0 8 oz Slimline Dead Blow Hammer - USA,False,1795,Brand New,572,70
"Stanley 8 Lb Head, 34-1/4"" Long Sledge Hammer Steel Head, Wood Handle",False,3400,Brand New,0,153
"24 oz RUBBER MALLET w/ FIBERGLASS HANDLE Hammer Grip 13.5"" Inch Length",True,1495,Brand New,0,
Authentic CRAFTSMAN HAMMER 16 ounce Rip Claw Hammer #CMHT51163 BRAND NEW,False,1764,Brand New,0,
Rubber Hammer Multifunctional Tile Floor Installation Hammer With Wooden Handle,True,699,Brand New,0,
Makita 3/4 in. Variable-Speed Hammer Drill w/ Case HP2050R Certified Refurbished,True,6699,Certified - Refurbished,0,
Emergency Escape Hammer Auto Car Window Glass Tool Breaker Seat Belt Cutter NEW,True,989,Brand New,0,
32 Oz. Multi-Purpose Dead Blow Ball Peen Hammer,False,1340,Brand New,0,
Authentic CRAFTSMAN HAMMER 16 ounce Rip Claw Hammer #CMHT51163 BRAND NEW,False,1899,Brand New,0,
"VCT 5pc Hammer & Mallet Set, Ball-Pein, Sledge, Mallet, Cross-Pein",False,3995,Brand New,0,16
Ball Peen Hammer 2 OZ - SFC Tools - 37-978,False,950,Brand New,0,197
Grace 8oz Brass Hammer BH-8 Gunsmith Gun Care Machinist Made in USA,True,2299,Brand New,0,299
Eastwood Stainless Steel Trim Hammer Drop-Forged Hardened Head Hickory Handle,False,2499,Brand New,0,65
2 lb. Fiberglass Drilling Hammer,True,2199,Brand New,0,
22 oz. Milled Face Framing Hammer with 15 in. Pry Bar,False,4477,Brand New,0,21
Plumb 11442 Permabond 22 oz. Premium Ripping Claw Hammer,False,1700,Brand New,1250,
6 oz Mini Ball Peen Hammer,True,1342,Brand New,0,
"#1 Professional Welding Chipping Hammer Welding Cleaning Tool, Hand Tool...",True,1249,Brand New,0,
Shop on eBay,False,2000,Brand New,,
"5.5"" Thick Hammer Glass Bubbler Bong Carb Hole Premium Quality Water Pipe Hookah",True,2499,Brand New,0,213
2 lb. Fiberglass Drilling Hammer,True,2199,Brand New,0,
Car Safety Hammer Window Glass Breaker Seat Belt Emergency Escape Cutter Tool,True,1099,Brand New,0,
DeWALT DWHT51385 21-Ounce Lightweight Fiberglass Framing Hammer,True,2343,Brand New,895,65
Eastwood Stainless Steel Trim Hammer Drop-Forged Hardened Head Hickory Handle,False,2499,Brand New,0,65
22 oz. Milled Face Framing Hammer with 15 in. Pry Bar,False,4477,Brand New,0,21
Plumb 11442 Permabond 22 oz. Premium Ripping Claw Hammer,False,1700,Brand New,1250,
16 oz. Brass Hammer with Fiberglass Handle,False,2799,Brand New,0,
"50 hammer and axe flat wedges, blacksmith wedges",False,1200,Brand New,0,882
